name,item_id,original_price,price,discount,rating,review,location,seller_name,seller_id,item_sold,item_url,image_url
UiiSii HM13 Wired Noise Cancelling Dynamic Heavy Bass Music Metal In-ear with Mic Earphone - Ear Phone - Headphone - Headphone - Headphone - Ear Phone - Earphone,123806256,500.0,375.0,,4.32,148,Dhaka,Gadget Biz,1025938,1.1K,//www.daraz.com.bd/products/uiisii-hm13-wired-noise-cancelling-dynamic-heavy-bass-music-metal-in-ear-with-mic-earphone-ear-phone-headphone-headphone-headphone-ear-phone-earphone-i123806256.html,https://static-01.daraz.com.bd/p/1470e5037c81d0ad147ba3a576a1fb40.jpg
Akg_Super Bass Earphone With Pouch Box Samsung Headphone - Headphone - Ear Phone,324358387,500.0,185.0,,4.52,229,Dhaka,Western Fashion Mart ,700527078303,1.7K,//www.daraz.com.bd/products/akg_super-samsung-i324358387.html,https://bd-live-21.slatic.net/kf/S5eaff56ca8ee4e039c577a19bfe8148fU.jpg
Realme Stereo Wired Earphone RMA101,391634976,140.0,43.0,,3.76,21,Dhaka,Magura Online Shop Eleven,700531344889,589,//www.daraz.com.bd/products/realme-rma101-i391634976.html,https://static-01.daraz.com.bd/p/af761cf20c41a0e8226769f3b7f2ace9.png
Remax Rm 510 Wired High Performance Earphones - Headphone,104846274,675.0,370.0,,4.53,2808,Dhaka,Gadgets Lab,6024,14.7K,//www.daraz.com.bd/products/remax-rm-510-wired-high-performance-earphones-headphone-i104846274.html,https://static-01.daraz.com.bd/p/e6826c9685911bea74a01b4cb543b31e.jpg
UiiSii HM13 In-Ear Dynamic Heavy Bass Metal Earphone with Microphone - Reliable Accessory-Headphone,164184166,450.0,395.0,,4.32,293,Dhaka,Trendy Buy,700506687011,1.6K,//www.daraz.com.bd/products/uiisii-hm13-in-ear-dynamic-heavy-bass-metal-earphone-with-microphone-reliable-accessory-headphone-i164184166.html,https://static-01.daraz.com.bd/p/fc0a469e298ce7c9b4e341c1671a512d.jpg
Vivo In Year Yearphone is the best sound quality-white with free one - Emphasizing Value,215349589,270.0,119.0,,3.99,914,Dhaka,Prima Store,700509744001,5.2K,//www.daraz.com.bd/products/vivo-in-year-yearphone-is-the-best-sound-quality-white-with-free-one-emphasizing-value-i215349589.html,https://static-01.daraz.com.bd/p/ea974ce2b124f6d82b61a45ff60e4ed8.jpg
Cute Cartoon Rabbit Wired Earphone Headphone With Microphone for Girls H,363651154,400.0,300.0,,4.59,44,Dhaka,Tech Tornado,700663472332,316,//www.daraz.com.bd/products/h-i363651154.html,https://static-01.daraz.com.bd/p/d51de16f2d0e9be2ce582c00169322dc.png
Original A6S TWS Headset Wireless Earphones Bluetooth Headphones Sport Stereo Fone Bluetooth Earbuds for Xiaomi Huawei iPhone,401654241,826.0,413.0,,4.11,15327,Overseas,Any 3 Deal,700704640826,99.2K,//www.daraz.com.bd/products/xiaomi-huawei-iphone-tws-i401654241.html,https://bd-live-21.slatic.net/kf/S6fbef481e66d403cad86f899bb9609456.jpg
ORIGINAL REMAX RM-512 IN-EAR 3.5 MM STEREO EARPHONE,368409268,450.0,90.0,,3.98,101,Dhaka,Wholesale Mart - Choice..Selection,700690176807,682,//www.daraz.com.bd/products/original-remax-rm-512-in-ear-35-mm-stereo-earphone-i368409268.html,https://bd-live-21.slatic.net/kf/S8ba1a4206d1440cfafb1c51e735d2f36M.jpg
uiisii hm 12 clear music and gaming earphone ( havy duty),393738471,400.0,187.0,,5.0,1,Dhaka,Magura Online Shop One,700711504479,84,//www.daraz.com.bd/products/uiisii-hm-12-i393738471.html,https://static-01.daraz.com.bd/p/d486f1f62fd8f8e5567b5e68a3296e5c.png
