name,item_id,original_price,price,discount,rating,review,location,seller_name,seller_id,item_sold,item_url,image_url
Lenovo Thinkpad core i5  Laptop gen 6th ram 8gb core i5  Ssd 256 gb full fresh and  fast laptop ..7 days garanty..1 years servise warranty  (used),343992669,36500.0,24500.0,,5.0,6,,Laptop City Online Shop ,700563152776,14,//www.daraz.com.bd/products/lenovo-thinkpad-core-i5-gen-6th-ram-8gb-core-i5-ssd-256-gb-7-1-i343992669.html,https://bd-live-21.slatic.net/kf/S1be7650268d34b8e81db833507410647A.jpg
"Hp Elightbook 840 G3 Laptop core i5 gen 6th ram 8gb ssd 256 gb Display 14"" Akdom Full fresh condaditon (used)",339235400,33333.0,25700.0,,5.0,2,,Laptop City Online Shop ,700563152776,0,//www.daraz.com.bd/products/hp-elighbook-840-g3-i5-gen-6th-ram-8gb-ssd-256-gb-14-akdom-i339235400.html,https://bd-live-21.slatic.net/kf/Sb925a6ebddb44112be252ed260b915323.jpg
"Walton Tab Walpad 10H Pro 8/128 with 10.36”  FHD Display, Octa Core Chip, MediaTek Helio G99, 6200 mAh Battery and Latest OS",325698009,21850.0,20950.0,,5.0,2,,Walton Digi-Tech,1011255,21,//www.daraz.com.bd/products/walton-tab-walpad-10h-pro-8128-fhd-octa-mediatek-helio-g99-1036-mah-os-i325698009.html,https://static-01.daraz.com.bd/p/f4c5ca3915bc683e670cc13eaac32de6.png
CHUWI HeroBook Pro Intel Celeron N4020 14.1 inch Laptop 8G+256G Gray color two years warranty,332299991,39000.0,29900.0,,5.0,3,,XingYun Group,700509489030,5,//www.daraz.com.bd/products/chuwi-n4020-141-8g-256g-i332299991.html,https://static-01.daraz.com.bd/p/801e4cfe7895e9e7160b850423867e21.jpg
"Walton Tab Walpad 10H Pro With Keyboard 8/128 with 10.36”  FHD Plus Display, Octa Core Chip, MediaTek Helio G99, 6200 mAh Battery and Latest OS",339657882,22850.0,21995.0,,5.0,2,,Walton Digi-Tech,1011255,5,//www.daraz.com.bd/products/walton-tab-walpad-10h-pro-8128-fhd-mediatek-helio-g99-1036-mah-os-i339657882.html,https://static-01.daraz.com.bd/p/e4011b5c7d04d7db1a80683024776ea9.jpg
"HP 250 G10 i3 (1315u) Laptop with 13th Gen 8GB RAM 512GB SSD 15.6"" FHD IPS Silver and 2 Year Warranty",323965673,58000.0,53450.0,,4.86,7,,COMPUTER ARCHIVES,1005849,21,//www.daraz.com.bd/products/hp-250-g10-i3-1315u-laptop-with-13th-gen-8gb-ram-512gb-ssd-156-fhd-ips-silver-and-2-year-warranty-i323965673.html,https://static-01.daraz.com.bd/p/6d91c1b6d137e60d8d18b4540b8759fd.png
HP 250 G9 Core i3 12th Gen 8GB ram 512GB SSD 15.6 Inch FHD Free Dos Silver Laptop,316279783,54119.0,51500.0,,5.0,4,,COMPUTER ARCHIVES,1005849,13,//www.daraz.com.bd/products/hp-250-g9-core-i3-12th-gen-8gb-ram-512gb-ssd-156-fhd-i316279783.html,https://static-01.daraz.com.bd/p/544cd3caf750dc46bbd1464e67d6873c.jpg
Lenovo Thinkpad core i5 8th gen Ram 8gb Ssd 256gb Model x280 akdom Full fresh hoyea asha kono poblam nay dubaithaka ana ai gula (used),349090983,38500.0,28400.0,,4.5,2,,Laptop City Online Shop ,700563152776,6,//www.daraz.com.bd/products/lenovo-thinkpad-core-i5-8th-gen-ram-8gb-ssd-256gb-x280-akdom-hoyea-asha-kono-poblam-nay-dubaithaka-aaa-ai-gula-i349090983.html,https://bd-live-21.slatic.net/kf/S97b6e4f022944e77ae6a113a7cb17f1bc.jpg
ASUS TUF Gaming A15 FX507VV-LP151W 13th Gen Core-i7 Gaming Laptop,389183516,205670.0,199975.0,,0.0,0,,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/asus-tuf-gaming-a15-fx507vv-lp151w-13th-gen-core-i7-gaming-laptop-i389183516.html,https://static-01.daraz.com.bd/p/d18aa0baf101158c378653906a3f7f6f.jpg
"ASUS TUF Gaming F15 FX507ZC4 Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop",393349406,-1.0,117499.0,,0.0,0,,SUMASH TECH LIMITED,700649760132,0,//www.daraz.com.bd/products/asus-tuf-f15-fx507zc4-i5-12th-gen-rtx-3050-4gb-156-fhd-i393349406.html,https://static-01.daraz.com.bd/p/12d5043269427e4306e78c2d40788e14.png
Hp G6 Laptop Core i5 gen 8th Ram 8gb SSd 256gb  tas schine display (used),339236089,45322.0,35500.0,,0.0,0,,Laptop City Online Shop ,700563152776,0,//www.daraz.com.bd/products/hp-g6-i5-gen-8th-ram-8gb-ssd-256gb-tas-schine-i339236089.html,https://bd-live-21.slatic.net/kf/S33c494e35c414d9c92c45fbd4e1e98b7o.jpg
Walton Walpad 8G with 4GB RAM 64GB Storage 2GHz Quad-Core CPU and 8-inch IPS Display 5000 mAh Lithium-Ion Battery,239411651,15750.0,15250.0,,3.6,5,,Walton Digi-Tech,1011255,74,//www.daraz.com.bd/products/4gb-ram-64gb-2ghz-cpu-8-ips-5000-mah-8g-i239411651.html,https://static-01.daraz.com.bd/p/d12128826dc5d814d7efd281b8e6e258.png
"Gigabyte Gaming G5 MF5 13th Gen i7-13620H 2.40 To 4.90GHz, 16GB , 1TB SSD, RTX4050 6GB, Win 11 Home, 15.6 Inch FHD Gaming Laptop",356181724,153500.0,151100.0,,0.0,0,,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/gigabyte-gaming-g5-mf5-13th-gen-i7-13620h-240-to-490ghz-16gb-1tb-ssd-rtx4050-6gb-win-11-home-156-inch-fhd-gaming-laptop-i356181724.html,https://static-01.daraz.com.bd/p/d69487d01883eedcff2da7783ebc7a04.png
"MacBook Air 13.6"" 2024 M3 (8GB/256GB)",360559989,150000.0,129999.0,,0.0,0,,SUMASH TECH LIMITED,700649760132,0,//www.daraz.com.bd/products/macbook-air-136-2024-m3-8gb256gb-i360559989.html,https://static-01.daraz.com.bd/p/2e1fc52c2bc47f8f4777cdff67893ca5.jpg
